id,cod_region,region,ccdd,departamento,ccpp,provincia,ccdi,distrito,cod_cen_pob,cen_pob,area,ruta,niv_ini_sel,niv_pri_sel,niv_sec_sel,resfin,orden_sec,tipo_sec,det_id,dir_niv_ini,dir_niv_pri,dir_niv_sec,es_director,es_docente,nombre,sel_area,ddir_g_002,ddir_g_010,p4_2_01_015_1,p4_2_01_015_2,p4_2_01_015_3,p4_2_01_015_4,p4_2_01_015_5,p4_2_01_015_6,p4_2_01_015_7,p4_2_01_015_8,p4_2_01_015_9,p4_2_01_015_10,p4_2_01_015_11,p4_2_01_016,p4_2_02_001,p4_2_02_001_1_1,p4_2_02_001_1_2,p4_2_02_001_1_3,p4_2_02_001_1_4,p4_2_02_001_1_5,p4_2_02_001_1_6,p4_2_02_001_1_7,p4_2_02_001_1_7_o,p4_2_05_001,p4_2_05_001_1,p4_2_05_001_2,p4_2_05_002_1,p4_2_05_002_2,p4_2_05_003,p4_2_05_005_a,p4_2_05_004,p4_2_05_005,p4_2_05_006,p4_2_05_007,p4_2_05_008,p4_2_05_009,p4_2_05_010,p4_2_06_001_1,p4_2_06_001_2,p4_2_06_001_3,p4_2_06_002_1,p4_2_06_002_2,p4_2_06_003,p4_2_06_006,p4_2_06_005,p4_2_06_004,p4_2_06_007,p4_2_06_007_1,p4_2_06_007_2,p4_2_06_008_1,p4_2_06_008_2,p4_2_06_009,p4_2_06_012,p4_2_06_011,p4_2_06_010,res_fin_sec,f_ex_doc_sec,f_ex_secc_sec
8,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,009,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,COMUNICACION,2.femenino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,1.sí,31,1.sí,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,,1.sí,30,0,17,3,1.sí,1.mucha frecuencia?,3.poco útil?,2.fácil?,2.no,,,,,1.sí,30,2,17,3,2.no,,,,1.sí,30,0,17,3,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,1.completa,1.4700429,1.4641745
8,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,009,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,4,,,,0,1,B,MATEMATICA,1.masculino,1.nombrado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,2.no,2.no,2.no,1.sí,2.no,,1.sí,10,2,17,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,2.no,,,,,1.sí,29,0,17,3,1.sí,2.poca frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,1.4700429,1.4641745
11,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,012,0,0,nivel secundaria seleccionado,1.completa,1,segundo,4,,,,0,1,SAN MARTIN DE PORRES,HGE,2.femenino,1.nombrado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,25,1.sí,2.no,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,25,0,15,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,25,0,15,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,,,,,,,,,,1.completa,1.148471,.76259089
11,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,012,0,0,nivel secundaria seleccionado,1.completa,3,segundo,5,,,,0,1,ANTONIO DE HORNEDO,COMUNICACION,1.masculino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,25,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,,1.sí,25,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,3.poco útil?,2.fácil?,1.sí,25,0,12,3,1.sí,1.mucha frecuencia?,3.difícil,2.Útil?,1.sí,25,0,12,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.completa,1.148471,.76259089
12,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,013,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,5,segundo,8,,,,0,1,SUPERACION,COMUNICACION,1.masculino,1.nombrado,2.no,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,2.no,2.no,2.no,1.sí,2.no,,1.sí,29,29,13,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,29,29,13,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.sí,29,29,13,3,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,1.completa,.88257134,.39068806
12,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,013,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,11,,,,0,1,HONESTIDAD,COMUNICACION,2.femenino,1.nombrado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,30,1.sí,1.sí,1.sí,1.sí,1.sí,1.sí,1.sí,2.no,,1.sí,26,0,26,3,1.sí,2.poca frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,27,0,26,3,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,1.sí,30,0,26,3,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,1.completa,.88257134,.39068806
15,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,016,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,2A,HGE,2.femenino,1.nombrado,2.no,2.no,2.no,2.no,1.sí,1.sí,2.no,2.no,2.no,2.no,2.no,31,1.sí,2.no,2.no,1.sí,2.no,2.no,1.sí,2.no,,1.sí,31,0,12,3,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,31,0,12,3,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,,,,,,,,,,1.completa,1.9919281,1.4879823
15,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,01,CHACHAPOYAS,131197,CHACHAPOYAS,urbana,016,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,2,,,,0,1,2B,HGE,2.femenino,1.nombrado,2.no,2.no,2.no,2.no,1.sí,1.sí,2.no,2.no,2.no,2.no,2.no,31,1.sí,2.no,2.no,1.sí,2.no,2.no,1.sí,2.no,,1.sí,31,0,12,3,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,31,0,12,3,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,,,,,,,,,,1.completa,1.9919281,1.4879823
25,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,04,CHETO,129622,CHETO,urbana,003,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,COMUNICACION,2.femenino,1.nombrado,2.no,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,17,1.sí,2.no,1.sí,2.no,2.no,2.no,1.sí,2.no,,1.sí,17,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,14,0,12,3,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,1.sí,17,0,4,6,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,1.completa,13.611508,13.557171
26,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,06,CHUQUIBAMBA,130376,CHUMBOL,rural,015,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,MATEMATICA,1.masculino,1.nombrado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,9,1.sí,1.sí,1.sí,2.no,2.no,1.sí,1.sí,2.no,,1.sí,9,0,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,9,0,12,3,1.sí,1.mucha frecuencia?,2.fácil?,1.muy útil?,,,,,,,,,,1.completa,6.8042355,4.6687069
27,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,07,GRANADA,310945,DIOSAN,rural,016,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,A,COMUNICACION,1.masculino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,16,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,16,9,12,3,1.sí,1.mucha frecuencia?,1.muy útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,16,2,12,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.sí,16,16,12,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.completa,6.8042355,4.6687069
30,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,09,LA JALCA,111007,LA JALCA,urbana,015,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,1,segundo,4,,,,0,1,RESPETO,HGE,2.femenino,2.contratado,2.no,2.no,2.no,2.no,1.sí,1.sí,2.no,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,2.no,2.no,1.sí,1.sí,2.no,,1.sí,29,0,12,7,1.sí,2.poca frecuencia?,2.Útil?,1.muy fácil?,1.sí,1.sí,2.poca frecuencia?,2.Útil?,1.muy fácil,1.sí,29,0,12,7,1.sí,2.poca frecuencia?,1.muy fácil,2.Útil?,,,,,,,,,,1.completa,1.7840327,1.7769108
30,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,09,LA JALCA,111007,LA JALCA,urbana,015,0,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,5,,,,0,1,SOLIDARIDAD,COMUNICACION,1.masculino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,2.no,2.no,1.sí,1.sí,2.no,,1.sí,29,0,16,7,1.sí,2.poca frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,2.poca frecuencia?,2.Útil?,2.fácil?,1.sí,29,0,16,7,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,1.sí,29,0,16,3,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,1.completa,1.7840327,1.7769108
34,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,10,LEIMEBAMBA,123865,LEYMEBAMBA,urbana,015,0,0,nivel secundaria seleccionado,1.completa,2,segundo,2,,,,0,1,B,COMUNICACION,2.femenino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,22,1.sí,1.sí,1.sí,2.no,2.no,1.sí,1.sí,2.no,,1.sí,22,0,12,3,1.sí,1.mucha frecuencia?,3.poco útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,22,5,12,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.sí,22,0,20,4,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.completa,2.1121306,1.0518495
34,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,10,LEIMEBAMBA,123865,LEYMEBAMBA,urbana,015,0,0,nivel secundaria seleccionado,1.completa,3,segundo,4,,,,0,1,C,COMUNICACION,2.femenino,2.contratado,2.no,1.sí,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,20,1.sí,2.no,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,20,0,19,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,20,0,19,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.sí,20,0,19,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,1.completa,2.1121306,1.0518495
41,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,12,MAGDALENA,127722,MAGDALENA,urbana,005,0,0,nivel secundaria seleccionado,1.completa,1,segundo,2,,,,0,1,2 A,COMUNICACION,2.femenino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,24,1.sí,1.sí,1.sí,2.no,2.no,1.sí,1.sí,2.no,,1.sí,22,0,15,3,1.sí,2.poca frecuencia?,2.Útil?,3.difícil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,24,0,15,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,2.no,,,,,,,,,1.completa,23.710369,11.807858
44,01,AMAZONAS,01,AMAZONAS,01,CHACHAPOYAS,14,MOLINOPAMPA,546715,MOLINOPAMPA,urbana,011,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,U,HGE,2.femenino,1.nombrado,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,25,1.sí,1.sí,1.sí,2.no,2.no,2.no,2.no,2.no,,1.sí,25,0,15,3,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,1.sí,1.mucha frecuencia?,2.Útil?,2.fácil?,1.sí,25,0,15,3,1.sí,2.poca frecuencia?,2.fácil?,2.Útil?,,,,,,,,,,1.completa,7.8193774,7.7881622
52,01,AMAZONAS,01,AMAZONAS,02,BAGUA,01,BAGUA,122815,BAGUA,urbana,008,nivel inicial seleccionado,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,2,segundo,14,,,,0,1,B,MATEMATICA,2.femenino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,1.sí,2.no,2.no,2.no,2.no,24,1.sí,1.sí,2.no,2.no,2.no,2.no,1.sí,2.no,,1.sí,18,10,12,3,1.sí,1.mucha frecuencia?,2.Útil?,3.difícil?,2.no,,,,,1.sí,12,4,12,3,2.no,,,,,,,,,,,,,1.completa,2.8824372,2.1531978
52,01,AMAZONAS,01,AMAZONAS,02,BAGUA,01,BAGUA,122815,BAGUA,urbana,008,nivel inicial seleccionado,nivel primaria seleccionado,nivel secundaria seleccionado,1.completa,3,segundo,15,,,,0,1,C,COMUNICACION,2.femenino,2.contratado,2.no,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,25,1.sí,1.sí,2.no,1.sí,1.sí,1.sí,1.sí,2.no,,2.no,,,,,,,,,2.no,,,,,1.sí,25,8,12,3,1.sí,1.mucha frecuencia?,2.fácil?,2.Útil?,2.no,,,,,,,,,1.completa,2.8824372,2.1531978
58,01,AMAZONAS,01,AMAZONAS,02,BAGUA,01,BAGUA,122815,BAGUA,urbana,008,0,0,nivel secundaria seleccionado,1.completa,1,segundo,3,,,,0,1,A,MATEMATICA,1.masculino,2.contratado,1.sí,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,2.no,29,1.sí,1.sí,1.sí,2.no,2.no,2.no,1.sí,2.no,,1.sí,29,0,12,3,1.sí,1.mucha frecuencia?,3.poco útil?,3.difícil?,1.sí,2.no,,,,1.sí,29,0,12,3,1.sí,2.poca frecuencia?,3.difícil,3.poco útil?,,,,,,,,,,1.completa,2.0881293,.69326442
